20,4,100,0.0003238,0.000245,0.000462,2502.13,10/10 ,0.135071,0.00203,0.439322,2502.13,2501.98,10/10 ,0.122419,0.001912,0.270966,2483.14,2483.01,10/10,0.782981
20,10,100,0.0007098,0.000582,0.00103,2788.15,10/10 ,0.974887,0.029936,5.91159,2788.15,2787.95,10/10 ,1.63715,0.023189,8.81897,2766.15,2765.94,10/10,0.800364
20,4,1000,0.0018725,0.001471,0.002848,2159.08,10/10 ,0.272868,0.001796,1.63924,2159.08,2159.06,10/10 ,0.217741,0.00151,1.47251,2141.12,2141.1,10/10,0.885221
20,10,1000,0.0039418,0.003693,0.004732,2445.73,10/10 ,0.660234,0.001697,3.29387,2445.73,2445.68,10/10 ,5.81006,0.001621,56.6005,2426.26,2426.19,10/10,0.778215
100,4,100,0.0011343,0.00099,0.001922,9730.84,10/10 ,270.401,3.29896,300.279,9730.84,9501.07,1/10 ,271.814,12.1239,305.881,9662.17,9396.98,1/10,0.614777
100,10,100,0.0048332,0.002539,0.023713,11478.9,10/10 ,270.747,7.4095,300.042,11481.3,11319.5,1/10 ,240.381,0.22424,300.097,11366.9,11195.7,2/10,1.01721
100,4,1000,0.0126684,0.007311,0.05616,7728.18,10/10 ,54.7549,0.05285,300,7728.18,7726.93,9/10 ,78.7309,0.057812,300,7651.76,7649.19,8/10,0.983858
100,10,1000,0.020162,0.019267,0.021477,10198,10/10 ,210.55,0.627303,300.07,10198,10183.4,3/10 ,151.7,0.027508,300.02,10086.2,10076.4,5/10,1.12197
500,4,100,0.0070861,0.005986,0.011427,61676.3,10/10 ,335.477,300.001,654.171,61729,61116,0/10 ,300.012,300,300.052,61501.4,60551.3,0/10,0.365913
500,10,100,0.0139616,0.013581,0.014531,56813.1,10/10 ,300.01,300.001,300.052,56981.1,56171.2,0/10 ,300.006,300,300.023,56632.2,55604.1,0/10,0.381868
500,4,1000,0.0426387,0.037864,0.055966,58571.8,10/10 ,210.113,0.229387,300.002,58602.7,58539.6,3/10 ,210.046,0.098571,300.015,58057.9,57986,3/10,0.90229
500,10,1000,0.10723,0.093234,0.199703,52692.7,10/10 ,240.666,0.642288,300.826,52721.2,52640.5,2/10 ,270.089,0.842252,300.03,52193.8,52087.5,1/10,0.891133
