20,4,100,0.0002063,0.000173,0.000329,46346.4,10/10 ,0.0029517,0.001892,0.006019,46346.4,46346.4,10/10 ,0.0026122,0.001017,0.005909,46322.6,46322.6,10/10,0.0522223
20,10,100,0.0006374,0.000364,0.000738,51630.6,10/10 ,0.0033078,0.002043,0.004069,51630.6,51630.6,10/10 ,0.0032016,0.001762,0.0046,51604.3,51604.3,10/10,0.0534373
20,4,1000,0.0019903,0.001356,0.002354,40991.9,10/10 ,0.0471985,0.00176,0.405469,40991.9,40990.8,10/10 ,0.0405649,0.002286,0.344279,40969.9,40969.1,10/10,0.0563023
20,10,1000,0.0031897,0.002706,0.004918,46945.6,10/10 ,0.105941,0.012857,0.199214,46945.6,46942.8,10/10 ,0.126917,0.012371,0.282004,46920.4,46917.1,10/10,0.0562326
100,4,100,0.0007246,0.000666,0.000789,308410,10/10 ,0.0103342,0.006807,0.012908,308410,308407,10/10 ,0.0086065,0.004156,0.012428,308272,308266,10/10,0.0458446
100,10,100,0.0016989,0.001565,0.00205,274698,10/10 ,0.012393,0.010252,0.021377,274699,274697,10/10 ,0.0114592,0.009425,0.01376,274566,274564,10/10,0.0486722
100,4,1000,0.0060328,0.005589,0.006481,273788,10/10 ,270.246,2.15006,300.157,273788,270942,1/10 ,252.961,3.93489,300.235,274049,270483,2/10,-0.0950477
100,10,1000,0.0163704,0.012866,0.04336,244329,10/10 ,300.038,300,300.154,244333,242540,0/10 ,300.01,300,300.104,244269,242273,0/10,0.0224409
500,4,100,0.0041542,0.004075,0.004363,1.27901e+06,10/10 ,0.0549835,0.04819,0.062743,1.27901e+06,1.27901e+06,10/10 ,0.0471044,0.039822,0.057108,1.27842e+06,1.27841e+06,10/10,0.0472113
500,10,100,0.0085813,0.008305,0.008935,1.35066e+06,10/10 ,0.0723435,0.061488,0.096004,1.35072e+06,1.35063e+06,10/10 ,0.0722029,0.060048,0.096419,1.35009e+06,1.35002e+06,10/10,0.0423067
500,4,1000,0.0301999,0.029043,0.030977,1.12455e+06,10/10 ,240.006,0.026593,300.002,1.12456e+06,1.11077e+06,2/10 ,240.011,0.023837,300.058,1.12772e+06,1.11003e+06,2/10,-0.294239
500,10,1000,0.0687505,0.067543,0.072307,1.23138e+06,10/10 ,300.005,300.001,300.041,1.23187e+06,1.21446e+06,0/10 ,300.009,300,300.035,1.23493e+06,1.21373e+06,0/10,-0.289945
