capBatt,nbConv,nbBoucleMoy,tpsMoyDec,tpsMoyOrdo,tpsMoyLS,gap,nbConv,nbBoucleMoy,tpsMoyDec,tpsMoyOrdo,tpsMoyLS,gap,nbConv,nbBoucleMoy,tpsMoyDec,tpsMoyOrdo,tpsMoyLS,gap,tpsMoyCPLEX,nbOpt
5,70,2.15714,316.645,316.138,0.00897496,0.632001,81,2.49383,255.907,255.389,0.0105154,0.591243,87,2.98851,167.693,167.109,0.0112774,0.260051,429.619,38
10,79,2.07595,277.23,276.735,0.0132902,0.658126,87,2.29885,221.94,221.423,0.014888,0.484544,88,2.84091,141.793,141.293,0.0146292,0.244462,406.491,44
15,76,2.06579,275.705,275.234,0.013766,0.438623,85,2.24706,218.258,217.762,0.0183369,0.602707,88,2.86364,166.557,165.943,0.0243465,0.480565,391.488,46
25,79,2.13924,268.724,268.22,0.0245102,0.483552,86,2.33721,210.967,210.424,0.0290412,0.430625,90,2.8,163.438,162.928,0.0348424,0.347287,371.861,51
