20,4,100,0.0201677,46346.4,0.01731,0.024989,10/10 ,0.0037008,0.002657,0.005564,46346.4,46346.4,10/10 ,0.0029852,0.001593,0.004495,46322.6,46322.6,10/10,0.0522223
20,10,100,0.0238792,51630.8,0.022091,0.025552,10/10 ,0.0036733,0.002458,0.004409,51630.6,51630.6,10/10 ,0.0034294,0.002129,0.004514,51604.3,51604.3,10/10,0.0537837
20,4,1000,1.32186,40992.1,1.18395,1.39997,10/10 ,0.0434657,0.002537,0.366387,40991.9,40990.8,10/10 ,0.0387553,0.001988,0.319617,40969.9,40969.1,10/10,0.0566826
20,10,1000,2.57492,46946.2,2.43255,2.69171,10/10 ,0.0995179,0.013952,0.195345,46945.6,46942.8,10/10 ,0.121931,0.011979,0.263712,46920.4,46917.1,10/10,0.0575593
20,4,10000,-nan,-nan,1e+06,0,0/10 ,0.447134,0.002869,2.32178,36715.9,36715.3,10/10 ,0.552169,0.003018,3.61901,36693.3,36693,10/10,-nan
20,10,10000,-nan,-nan,1e+06,0,0/10 ,1.38354,0.010941,5.22485,41169.8,41168.8,10/10 ,1.85097,0.008732,9.15726,41148.4,41146.6,10/10,-nan
100,4,100,0.485827,308410,0.457692,0.508846,10/10 ,0.0121115,0.009839,0.014599,308410,308407,10/10 ,0.0100633,0.006142,0.014298,308272,308266,10/10,0.0458446
100,10,100,0.606621,274698,0.563942,0.65289,10/10 ,0.0142089,0.011406,0.021371,274699,274697,10/10 ,0.0132217,0.010772,0.014951,274566,274564,10/10,0.0486722
100,4,1000,48.9855,273788,40.3715,74.3213,10/10 ,271.763,2.65296,302.503,273788,270908,1/10 ,257.38,4.89189,303.107,274092,270457,2/10,-0.10888
100,10,1000,88.1133,244329,77.5172,105.015,10/10 ,301.491,301.127,302.004,244330,242527,0/10 ,301.448,301.101,302.121,244286,242259,0/10,0.0157342
100,4,10000,-nan,-nan,1e+06,0,0/10 ,221.119,15.2999,302.165,226937,226710,3/10 ,183.918,0.005742,301.822,226819,226594,5/10,-nan
100,10,10000,-nan,-nan,1e+06,0,0/10 ,262.002,5.36716,301.376,194001,193295,2/10 ,249.26,8.33164,301.524,193883,193245,2/10,-nan
500,4,100,14.5235,1.27901e+06,13.2651,24.4484,10/10 ,0.0850422,0.07178,0.093235,1.27901e+06,1.27901e+06,10/10 ,0.0748325,0.063308,0.082135,1.27842e+06,1.27841e+06,10/10,0.0472113
500,10,100,16.6583,1.35066e+06,16.2995,17.0141,10/10 ,0.103041,0.091261,0.124158,1.35072e+06,1.35063e+06,10/10 ,0.100292,0.081006,0.117352,1.35009e+06,1.35002e+06,10/10,0.0423067
500,4,1000,-nan,-nan,1e+06,0,0/10 ,240.357,0.030841,300.55,1.12456e+06,1.11074e+06,2/10 ,240.441,0.027761,300.753,1.12772e+06,1.11001e+06,2/10,-nan
500,10,1000,-nan,-nan,1e+06,0,0/10 ,300.374,300.258,300.513,1.23183e+06,1.21444e+06,0/10 ,300.57,300.334,300.851,1.23504e+06,1.21372e+06,0/10,-nan
500,4,10000,-nan,-nan,1e+06,0,0/10 ,240.399,0.035567,300.663,944181,937989,2/10 ,240.391,0.02999,300.836,944371,937449,2/10,-nan
1000,4,100,85.9072,2.80809e+06,78.1469,115.268,10/10 ,0.169887,0.137241,0.200498,2.8081e+06,2.80808e+06,10/10 ,0.151299,0.133167,0.176369,2.80695e+06,2.80688e+06,10/10,0.0411364
1000,10,100,105.448,2.50178e+06,97.4864,125.891,10/10 ,0.232693,0.175076,0.317504,2.50184e+06,2.50172e+06,10/10 ,0.215276,0.160625,0.324379,2.50072e+06,2.5006e+06,10/10,0.0427425
1000,4,1000,-nan,-nan,1e+06,0,0/10 ,300.227,300.192,300.278,2.53852e+06,2.49966e+06,0/10 ,300.283,300.256,300.341,2.55029e+06,2.49863e+06,0/10,-nan
1000,10,1000,-nan,-nan,1e+06,0,0/10 ,300.24,300.198,300.28,2.21533e+06,2.16819e+06,0/10 ,300.242,300.156,300.341,2.22136e+06,2.16697e+06,0/10,-nan
